CZ_LNK_KEY,BASE_YYMM,BILL_ACNT_NO,ENTR_NO,CUST_NO,YY10_AGELV_ID,CUST_AGE,PP_CD,PP_NM,ENTR_STTS_CD,FRST_ENTR_DT,SPPS_AMT,SMLS_STLM_AMT,TOT_BILL_AMT,DP_LOAD_DTTM,DP_LOAD_USER_ID,SEX_DV_CD
110030,202609,BILL-110030,ENTR-VAS-BASELINE-0030,110030,5,55,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,F
110031,202609,BILL-110031,ENTR-VAS-BASELINE-0031,110031,5,56,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,M
110032,202609,BILL-110032,ENTR-VAS-BASELINE-0032,110032,5,57,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,F
110033,202609,BILL-110033,ENTR-VAS-BASELINE-0033,110033,5,58,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,M
110034,202609,BILL-110034,ENTR-VAS-BASELINE-0034,110034,5,59,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,F
110035,202609,BILL-110035,ENTR-VAS-BASELINE-0035,110035,6,60,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,M
110036,202609,BILL-110036,ENTR-VAS-BASELINE-0036,110036,2,25,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,F
110037,202609,BILL-110037,ENTR-VAS-BASELINE-0037,110037,2,26,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,M
110038,202609,BILL-110038,ENTR-VAS-BASELINE-0038,110038,2,27,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,F
110039,202609,BILL-110039,ENTR-VAS-BASELINE-0039,110039,2,28,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,M
110040,202609,BILL-110040,ENTR-VAS-BASELINE-0040,110040,2,29,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,F
110041,202609,BILL-110041,ENTR-VAS-BASELINE-0041,110041,3,30,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,M
110042,202609,BILL-110042,ENTR-VAS-BASELINE-0042,110042,3,31,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,F
110043,202609,BILL-110043,ENTR-VAS-BASELINE-0043,110043,3,32,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,M
110044,202609,BILL-110044,ENTR-VAS-BASELINE-0044,110044,3,33,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,F
110045,202609,BILL-110045,ENTR-VAS-BASELINE-0045,110045,3,34,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,M
110046,202609,BILL-110046,ENTR-VAS-BASELINE-0046,110046,3,35,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,F
110047,202609,BILL-110047,ENTR-VAS-BASELINE-0047,110047,3,36,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,M
110048,202609,BILL-110048,ENTR-VAS-BASELINE-0048,110048,3,37,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,F
110049,202609,BILL-110049,ENTR-VAS-BASELINE-0049,110049,3,38,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,M
110050,202609,BILL-110050,ENTR-VAS-BASELINE-0050,110050,3,39,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,F
110051,202609,BILL-110051,ENTR-VAS-BASELINE-0051,110051,4,40,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,M
110052,202609,BILL-110052,ENTR-VAS-BASELINE-0052,110052,4,41,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,F
110053,202609,BILL-110053,ENTR-VAS-BASELINE-0053,110053,4,42,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,M
110054,202609,BILL-110054,ENTR-VAS-BASELINE-0054,110054,4,43,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,F
110055,202609,BILL-110055,ENTR-VAS-BASELINE-0055,110055,4,44,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,M
110056,202609,BILL-110056,ENTR-VAS-BASELINE-0056,110056,4,45,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,F
110057,202609,BILL-110057,ENTR-VAS-BASELINE-0057,110057,4,46,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,M
110058,202609,BILL-110058,ENTR-VAS-BASELINE-0058,110058,4,47,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,F
110059,202609,BILL-110059,ENTR-VAS-BASELINE-0059,110059,4,48,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,M
110060,202609,BILL-110060,ENTR-VAS-BASELINE-0060,110060,4,49,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,F
110061,202609,BILL-110061,ENTR-VAS-BASELINE-0061,110061,5,50,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,M
110062,202609,BILL-110062,ENTR-VAS-BASELINE-0062,110062,5,51,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,F
110063,202609,BILL-110063,ENTR-VAS-BASELINE-0063,110063,5,52,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,M
110064,202609,BILL-110064,ENTR-VAS-BASELINE-0064,110064,5,53,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,F
110065,202609,BILL-110065,ENTR-VAS-BASELINE-0065,110065,5,54,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,M
110066,202609,BILL-110066,ENTR-VAS-BASELINE-0066,110066,5,55,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,F
110067,202609,BILL-110067,ENTR-VAS-BASELINE-0067,110067,5,56,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,M
110068,202609,BILL-110068,ENTR-VAS-BASELINE-0068,110068,5,57,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,F
110069,202609,BILL-110069,ENTR-VAS-BASELINE-0069,110069,5,58,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,M
110070,202609,BILL-110070,ENTR-VAS-BASELINE-0070,110070,5,59,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,F
110071,202609,BILL-110071,ENTR-VAS-BASELINE-0071,110071,6,60,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,M
110072,202609,BILL-110072,ENTR-VAS-BASELINE-0072,110072,2,25,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,F
110073,202609,BILL-110073,ENTR-VAS-BASELINE-0073,110073,2,26,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,M
110074,202609,BILL-110074,ENTR-VAS-BASELINE-0074,110074,2,27,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,F
110075,202609,BILL-110075,ENTR-VAS-BASELINE-0075,110075,2,28,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,M
110076,202609,BILL-110076,ENTR-VAS-BASELINE-0076,110076,2,29,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,F
110077,202609,BILL-110077,ENTR-VAS-BASELINE-0077,110077,3,30,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,M
110078,202609,BILL-110078,ENTR-VAS-BASELINE-0078,110078,3,31,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,F
110079,202609,BILL-110079,ENTR-VAS-BASELINE-0079,110079,3,32,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,M
110080,202609,BILL-110080,ENTR-VAS-BASELINE-0080,110080,3,33,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,F
110081,202609,BILL-110081,ENTR-VAS-BASELINE-0081,110081,3,34,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,M
110082,202609,BILL-110082,ENTR-VAS-BASELINE-0082,110082,3,35,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,F
110083,202609,BILL-110083,ENTR-VAS-BASELINE-0083,110083,3,36,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,M
110084,202609,BILL-110084,ENTR-VAS-BASELINE-0084,110084,3,37,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,F
110085,202609,BILL-110085,ENTR-VAS-BASELINE-0085,110085,3,38,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,M
110086,202609,BILL-110086,ENTR-VAS-BASELINE-0086,110086,3,39,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,F
110087,202609,BILL-110087,ENTR-VAS-BASELINE-0087,110087,4,40,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,M
110088,202609,BILL-110088,ENTR-VAS-BASELINE-0088,110088,4,41,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,F
110089,202609,BILL-110089,ENTR-VAS-BASELINE-0089,110089,4,42,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,M
110090,202609,BILL-110090,ENTR-VAS-BASELINE-0090,110090,4,43,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,F
110091,202609,BILL-110091,ENTR-VAS-BASELINE-0091,110091,4,44,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,M
110092,202609,BILL-110092,ENTR-VAS-BASELINE-0092,110092,4,45,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,F
110093,202609,BILL-110093,ENTR-VAS-BASELINE-0093,110093,4,46,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,M
110094,202609,BILL-110094,ENTR-VAS-BASELINE-0094,110094,4,47,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,F
110095,202609,BILL-110095,ENTR-VAS-BASELINE-0095,110095,4,48,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,M
110096,202609,BILL-110096,ENTR-VAS-BASELINE-0096,110096,4,49,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,F
110097,202609,BILL-110097,ENTR-VAS-BASELINE-0097,110097,5,50,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,M
110098,202609,BILL-110098,ENTR-VAS-BASELINE-0098,110098,5,51,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,F
110099,202609,BILL-110099,ENTR-VAS-BASELINE-0099,110099,5,52,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,M
110100,202609,BILL-110100,ENTR-VAS-BASELINE-0100,110100,5,53,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,F
110101,202609,BILL-110101,ENTR-VAS-BASELINE-0101,110101,5,54,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,M
110102,202609,BILL-110102,ENTR-VAS-BASELINE-0102,110102,5,55,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,F
110103,202609,BILL-110103,ENTR-VAS-BASELINE-0103,110103,5,56,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,M
110104,202609,BILL-110104,ENTR-VAS-BASELINE-0104,110104,5,57,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,F
110105,202609,BILL-110105,ENTR-VAS-BASELINE-0105,110105,5,58,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,M
110106,202609,BILL-110106,ENTR-VAS-BASELINE-0106,110106,5,59,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,F
110107,202609,BILL-110107,ENTR-VAS-BASELINE-0107,110107,6,60,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,M
110108,202609,BILL-110108,ENTR-VAS-BASELINE-0108,110108,2,25,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,F
110109,202609,BILL-110109,ENTR-VAS-BASELINE-0109,110109,2,26,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,M
110110,202609,BILL-110110,ENTR-VAS-BASELINE-0110,110110,2,27,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,F
110111,202609,BILL-110111,ENTR-VAS-BASELINE-0111,110111,2,28,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,M
110112,202609,BILL-110112,ENTR-VAS-BASELINE-0112,110112,2,29,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,F
110113,202609,BILL-110113,ENTR-VAS-BASELINE-0113,110113,3,30,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,M
110114,202609,BILL-110114,ENTR-VAS-BASELINE-0114,110114,3,31,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,F
110115,202609,BILL-110115,ENTR-VAS-BASELINE-0115,110115,3,32,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,M
110116,202609,BILL-110116,ENTR-VAS-BASELINE-0116,110116,3,33,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,F
110117,202609,BILL-110117,ENTR-VAS-BASELINE-0117,110117,3,34,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,M
110118,202609,BILL-110118,ENTR-VAS-BASELINE-0118,110118,3,35,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,F
110119,202609,BILL-110119,ENTR-VAS-BASELINE-0119,110119,3,36,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,M
110120,202609,BILL-110120,ENTR-VAS-BASELINE-0120,110120,3,37,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,F
110121,202609,BILL-110121,ENTR-VAS-BASELINE-0121,110121,3,38,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,M
110122,202609,BILL-110122,ENTR-VAS-BASELINE-0122,110122,3,39,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,F
110123,202609,BILL-110123,ENTR-VAS-BASELINE-0123,110123,4,40,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,M
110124,202609,BILL-110124,ENTR-VAS-BASELINE-0124,110124,4,41,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,F
110125,202609,BILL-110125,ENTR-VAS-BASELINE-0125,110125,4,42,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,M
110126,202609,BILL-110126,ENTR-VAS-BASELINE-0126,110126,4,43,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,F
110127,202609,BILL-110127,ENTR-VAS-BASELINE-0127,110127,4,44,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,M
110128,202609,BILL-110128,ENTR-VAS-BASELINE-0128,110128,4,45,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,F
110129,202609,BILL-110129,ENTR-VAS-BASELINE-0129,110129,4,46,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,M
110130,202609,BILL-110130,ENTR-VAS-BASELINE-0130,110130,4,47,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,F
110131,202609,BILL-110131,ENTR-VAS-BASELINE-0131,110131,4,48,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,M
110132,202609,BILL-110132,ENTR-VAS-BASELINE-0132,110132,4,49,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,F
110133,202609,BILL-110133,ENTR-VAS-BASELINE-0133,110133,5,50,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,M
110134,202609,BILL-110134,ENTR-VAS-BASELINE-0134,110134,5,51,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,F
110135,202609,BILL-110135,ENTR-VAS-BASELINE-0135,110135,5,52,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,M
110136,202609,BILL-110136,ENTR-VAS-BASELINE-0136,110136,5,53,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,F
110137,202609,BILL-110137,ENTR-VAS-BASELINE-0137,110137,5,54,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,M
110138,202609,BILL-110138,ENTR-VAS-BASELINE-0138,110138,5,55,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,F
110139,202609,BILL-110139,ENTR-VAS-BASELINE-0139,110139,5,56,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,M
110140,202609,BILL-110140,ENTR-VAS-BASELINE-0140,110140,5,57,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,F
110141,202609,BILL-110141,ENTR-VAS-BASELINE-0141,110141,5,58,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,M
110142,202609,BILL-110142,ENTR-VAS-BASELINE-0142,110142,5,59,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,F
110143,202609,BILL-110143,ENTR-VAS-BASELINE-0143,110143,6,60,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,M
110144,202609,BILL-110144,ENTR-VAS-BASELINE-0144,110144,2,25,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,F
110145,202609,BILL-110145,ENTR-VAS-BASELINE-0145,110145,2,26,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,M
110146,202609,BILL-110146,ENTR-VAS-BASELINE-0146,110146,2,27,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,F
