P_YYYYMMDD,CZ_LNK_KEY,BASE_DT,CALL_ID,CALL_CRTE_DTTM,CUST_CNSL_TM,STT_TXT_CNTN,INQU_CNTN,CSLR_PRSS_CNTN,CNSL_ALL_SMRY_CNTN,CUST_SNMT_NM,CNSL_SBJC_TIT_NM,CNSL_SCLS_CD,CNSL_THMA_NM,ENTR_NO,CUST_NO,BQ_LOAD_DTTM,BQ_LOAD_USER_ID
2026-09-10,110070,20260910,CALL-VAS-B-0070,2026-09-10T20:10:00,310,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0070,110070,2026-09-10T22:10:00,synthetic-seeder
2026-09-04,110071,20260904,CALL-VAS-B-0071,2026-09-04T20:11:00,311,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0071,110071,2026-09-04T22:11:00,synthetic-seeder
2026-09-05,110072,20260905,CALL-VAS-B-0072,2026-09-05T20:12:00,312,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0072,110072,2026-09-05T22:12:00,synthetic-seeder
2026-09-06,110073,20260906,CALL-VAS-B-0073,2026-09-06T20:13:00,313,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0073,110073,2026-09-06T22:13:00,synthetic-seeder
2026-09-07,110074,20260907,CALL-VAS-B-0074,2026-09-07T20:14:00,314,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0074,110074,2026-09-07T22:14:00,synthetic-seeder
2026-09-08,110075,20260908,CALL-VAS-B-0075,2026-09-08T20:15:00,315,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0075,110075,2026-09-08T22:15:00,synthetic-seeder
2026-09-09,110076,20260909,CALL-VAS-B-0076,2026-09-09T20:16:00,316,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0076,110076,2026-09-09T22:16:00,synthetic-seeder
2026-09-10,110077,20260910,CALL-VAS-B-0077,2026-09-10T20:17:00,317,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0077,110077,2026-09-10T22:17:00,synthetic-seeder
2026-09-04,110078,20260904,CALL-VAS-B-0078,2026-09-04T20:18:00,318,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0078,110078,2026-09-04T22:18:00,synthetic-seeder
2026-09-05,110079,20260905,CALL-VAS-B-0079,2026-09-05T20:19:00,319,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0079,110079,2026-09-05T22:19:00,synthetic-seeder
2026-09-06,110080,20260906,CALL-VAS-B-0080,2026-09-06T20:20:00,320,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0080,110080,2026-09-06T22:20:00,synthetic-seeder
2026-09-07,110081,20260907,CALL-VAS-B-0081,2026-09-07T20:21:00,321,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0081,110081,2026-09-07T22:21:00,synthetic-seeder
2026-09-08,110082,20260908,CALL-VAS-B-0082,2026-09-08T20:22:00,322,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0082,110082,2026-09-08T22:22:00,synthetic-seeder
2026-09-09,110083,20260909,CALL-VAS-B-0083,2026-09-09T20:23:00,323,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0083,110083,2026-09-09T22:23:00,synthetic-seeder
2026-09-10,110084,20260910,CALL-VAS-B-0084,2026-09-10T20:24:00,324,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0084,110084,2026-09-10T22:24:00,synthetic-seeder
2026-09-04,110085,20260904,CALL-VAS-B-0085,2026-09-04T20:25:00,325,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0085,110085,2026-09-04T22:25:00,synthetic-seeder
2026-09-05,110086,20260905,CALL-VAS-B-0086,2026-09-05T20:26:00,326,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0086,110086,2026-09-05T22:26:00,synthetic-seeder
2026-09-06,110087,20260906,CALL-VAS-B-0087,2026-09-06T20:27:00,327,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0087,110087,2026-09-06T22:27:00,synthetic-seeder
2026-09-07,110088,20260907,CALL-VAS-B-0088,2026-09-07T20:28:00,328,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0088,110088,2026-09-07T22:28:00,synthetic-seeder
2026-09-08,110089,20260908,CALL-VAS-B-0089,2026-09-08T20:29:00,329,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0089,110089,2026-09-08T22:29:00,synthetic-seeder
2026-09-09,110090,20260909,CALL-VAS-B-0090,2026-09-09T20:30:00,330,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0090,110090,2026-09-09T22:30:00,synthetic-seeder
2026-09-10,110091,20260910,CALL-VAS-B-0091,2026-09-10T20:31:00,331,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0091,110091,2026-09-10T22:31:00,synthetic-seeder
2026-09-04,110092,20260904,CALL-VAS-B-0092,2026-09-04T20:32:00,332,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0092,110092,2026-09-04T22:32:00,synthetic-seeder
2026-09-05,110093,20260905,CALL-VAS-B-0093,2026-09-05T20:33:00,333,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0093,110093,2026-09-05T22:33:00,synthetic-seeder
2026-09-06,110094,20260906,CALL-VAS-B-0094,2026-09-06T20:34:00,334,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0094,110094,2026-09-06T22:34:00,synthetic-seeder
2026-09-07,110095,20260907,CALL-VAS-B-0095,2026-09-07T20:35:00,335,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0095,110095,2026-09-07T22:35:00,synthetic-seeder
2026-09-08,110096,20260908,CALL-VAS-B-0096,2026-09-08T20:36:00,336,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0096,110096,2026-09-08T22:36:00,synthetic-seeder
2026-09-09,110097,20260909,CALL-VAS-B-0097,2026-09-09T20:37:00,337,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0097,110097,2026-09-09T22:37:00,synthetic-seeder
2026-09-10,110098,20260910,CALL-VAS-B-0098,2026-09-10T20:38:00,338,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0098,110098,2026-09-10T22:38:00,synthetic-seeder
2026-09-04,110099,20260904,CALL-VAS-B-0099,2026-09-04T20:39:00,339,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0099,110099,2026-09-04T22:39:00,synthetic-seeder
2026-09-05,110100,20260905,CALL-VAS-B-0100,2026-09-05T20:40:00,340,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0100,110100,2026-09-05T22:40:00,synthetic-seeder
2026-09-06,110101,20260906,CALL-VAS-B-0101,2026-09-06T20:41:00,341,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0101,110101,2026-09-06T22:41:00,synthetic-seeder
2026-09-07,110102,20260907,CALL-VAS-B-0102,2026-09-07T20:42:00,342,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0102,110102,2026-09-07T22:42:00,synthetic-seeder
2026-09-08,110103,20260908,CALL-VAS-B-0103,2026-09-08T20:43:00,343,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0103,110103,2026-09-08T22:43:00,synthetic-seeder
2026-09-09,110104,20260909,CALL-VAS-B-0104,2026-09-09T20:44:00,344,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0104,110104,2026-09-09T22:44:00,synthetic-seeder
2026-09-10,110105,20260910,CALL-VAS-B-0105,2026-09-10T20:45:00,345,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0105,110105,2026-09-10T22:45:00,synthetic-seeder
2026-09-04,110106,20260904,CALL-VAS-B-0106,2026-09-04T20:46:00,346,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0106,110106,2026-09-04T22:46:00,synthetic-seeder
2026-09-05,110107,20260905,CALL-VAS-B-0107,2026-09-05T20:47:00,347,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0107,110107,2026-09-05T22:47:00,synthetic-seeder
2026-09-06,110108,20260906,CALL-VAS-B-0108,2026-09-06T20:48:00,348,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0108,110108,2026-09-06T22:48:00,synthetic-seeder
2026-09-07,110109,20260907,CALL-VAS-B-0109,2026-09-07T20:49:00,349,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0109,110109,2026-09-07T22:49:00,synthetic-seeder
2026-09-08,110110,20260908,CALL-VAS-B-0110,2026-09-08T20:50:00,350,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0110,110110,2026-09-08T22:50:00,synthetic-seeder
2026-09-09,110111,20260909,CALL-VAS-B-0111,2026-09-09T20:51:00,351,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0111,110111,2026-09-09T22:51:00,synthetic-seeder
2026-09-10,110112,20260910,CALL-VAS-B-0112,2026-09-10T20:52:00,352,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0112,110112,2026-09-10T22:52:00,synthetic-seeder
2026-09-04,110113,20260904,CALL-VAS-B-0113,2026-09-04T20:53:00,353,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0113,110113,2026-09-04T22:53:00,synthetic-seeder
2026-09-05,110114,20260905,CALL-VAS-B-0114,2026-09-05T20:54:00,354,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0114,110114,2026-09-05T22:54:00,synthetic-seeder
2026-09-06,110115,20260906,CALL-VAS-B-0115,2026-09-06T20:55:00,355,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0115,110115,2026-09-06T22:55:00,synthetic-seeder
2026-09-07,110116,20260907,CALL-VAS-B-0116,2026-09-07T20:56:00,356,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0116,110116,2026-09-07T22:56:00,synthetic-seeder
2026-09-08,110117,20260908,CALL-VAS-B-0117,2026-09-08T20:57:00,357,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0117,110117,2026-09-08T22:57:00,synthetic-seeder
2026-09-09,110118,20260909,CALL-VAS-B-0118,2026-09-09T20:58:00,358,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0118,110118,2026-09-09T22:58:00,synthetic-seeder
2026-09-10,110119,20260910,CALL-VAS-B-0119,2026-09-10T20:59:00,359,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0119,110119,2026-09-10T22:59:00,synthetic-seeder
2026-09-04,110120,20260904,CALL-VAS-B-0120,2026-09-04T20:00:00,360,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0120,110120,2026-09-04T22:00:00,synthetic-seeder
